family_id	category	provider_or_scope	priority	current_registry_status	scope	agent_feed_stream	recommended_cadence	required_source_roles	url_verification	representative_official_urls	notes
merchant.7eleven	merchant	7-Eleven	P0	covered	Japan	merchant.jp-convenience	daily	accepted_payment_methods | loyalty_program_rules | merchant_campaigns_and_coupons | online_mobile_order_differences | store_locator_and_branch_overrides | excluded_products_or_services	existing_registry	https://www.sej.co.jp/	Exact payment/loyalty/campaign role pages must be captured before the merchant is marked supported.
merchant.aeon-group	merchant	AEON/MaxValu/MyBasket	P0	partial	Japan	merchant.jp-supermarket	daily	accepted_payment_methods | loyalty_program_rules | merchant_campaigns_and_coupons | online_mobile_order_differences | store_locator_and_branch_overrides | excluded_products_or_services	existing_registry	https://www.aeonretail.jp/	Exact payment/loyalty/campaign role pages must be captured before the merchant is marked supported.
merchant.amazon-jp	merchant	Amazon Japan	P0	covered	Japan	merchant.jp-ecommerce	daily	accepted_payment_methods | loyalty_program_rules | merchant_campaigns_and_coupons | online_mobile_order_differences | store_locator_and_branch_overrides | excluded_products_or_services	existing_registry	https://www.amazon.co.jp/	Exact payment/loyalty/campaign role pages must be captured before the merchant is marked supported.
merchant.biccamera	merchant	Bic Camera	P0	covered	Japan	merchant.jp-electronics	daily	accepted_payment_methods | loyalty_program_rules | merchant_campaigns_and_coupons | online_mobile_order_differences | store_locator_and_branch_overrides | excluded_products_or_services	existing_registry	https://www.biccamera.com/	Exact payment/loyalty/campaign role pages must be captured before the merchant is marked supported.
merchant.familymart	merchant	FamilyMart	P0	covered	Japan	merchant.jp-convenience	daily	accepted_payment_methods | loyalty_program_rules | merchant_campaigns_and_coupons | online_mobile_order_differences | store_locator_and_branch_overrides | excluded_products_or_services	existing_registry	https://www.family.co.jp/	Exact payment/loyalty/campaign role pages must be captured before the merchant is marked supported.
merchant.itoyokado	merchant	Ito-Yokado	P0	covered	Japan	merchant.jp-supermarket	daily	accepted_payment_methods | loyalty_program_rules | merchant_campaigns_and_coupons | online_mobile_order_differences | store_locator_and_branch_overrides | excluded_products_or_services	existing_registry	https://www.itoyokado.co.jp/	Exact payment/loyalty/campaign role pages must be captured before the merchant is marked supported.
merchant.lawson	merchant	Lawson	P0	covered	Japan	merchant.jp-convenience	daily	accepted_payment_methods | loyalty_program_rules | merchant_campaigns_and_coupons | online_mobile_order_differences | store_locator_and_branch_overrides | excluded_products_or_services	existing_registry	https://www.lawson.co.jp/	Exact payment/loyalty/campaign role pages must be captured before the merchant is marked supported.
merchant.matsukiyo	merchant	Matsukiyo/Cocokara	P0	covered	Japan	merchant.jp-drugstore	daily	accepted_payment_methods | loyalty_program_rules | merchant_campaigns_and_coupons | online_mobile_order_differences | store_locator_and_branch_overrides | excluded_products_or_services	existing_registry	https://www.matsukiyococokara-online.com/	Exact payment/loyalty/campaign role pages must be captured before the merchant is marked supported.
merchant.mcdonalds	merchant	McDonald’s Japan	P0	covered	Japan	merchant.jp-food	daily	accepted_payment_methods | loyalty_program_rules | merchant_campaigns_and_coupons | online_mobile_order_differences | store_locator_and_branch_overrides | excluded_products_or_services	existing_registry	https://www.mcdonalds.co.jp/	Exact payment/loyalty/campaign role pages must be captured before the merchant is marked supported.
merchant.ministop	merchant	MiniStop	P0	missing	Japan	merchant.jp-convenience	daily	accepted_payment_methods | loyalty_program_rules | merchant_campaigns_and_coupons | online_mobile_order_differences | store_locator_and_branch_overrides | excluded_products_or_services	candidate_to_verify	https://www.ministop.co.jp/	Exact payment/loyalty/campaign role pages must be captured before the merchant is marked supported.
merchant.newdays	merchant	NewDays / KIOSK	P0	missing	Japan	merchant.jp-convenience	daily	accepted_payment_methods | loyalty_program_rules | merchant_campaigns_and_coupons | online_mobile_order_differences | store_locator_and_branch_overrides | excluded_products_or_services	candidate_to_verify	https://retail.jr-cross.co.jp/newdays/	Exact payment/loyalty/campaign role pages must be captured before the merchant is marked supported.
merchant.rakuten-market	merchant	Rakuten Ichiba	P0	partial	Japan	economy.rakuten	daily	accepted_payment_methods | loyalty_program_rules | merchant_campaigns_and_coupons | online_mobile_order_differences | store_locator_and_branch_overrides | excluded_products_or_services	existing_registry	https://www.rakuten.co.jp/	Exact payment/loyalty/campaign role pages must be captured before the merchant is marked supported.
merchant.starbucks	merchant	Starbucks Japan	P0	covered	Japan	merchant.jp-food	daily	accepted_payment_methods | loyalty_program_rules | merchant_campaigns_and_coupons | online_mobile_order_differences | store_locator_and_branch_overrides | excluded_products_or_services	existing_registry	https://www.starbucks.co.jp/	Exact payment/loyalty/campaign role pages must be captured before the merchant is marked supported.
merchant.welcia	merchant	Welcia	P0	covered	Japan	merchant.jp-drugstore	daily	accepted_payment_methods | loyalty_program_rules | merchant_campaigns_and_coupons | online_mobile_order_differences | store_locator_and_branch_overrides | excluded_products_or_services	existing_registry	https://www.welcia-yakkyoku.co.jp/	Exact payment/loyalty/campaign role pages must be captured before the merchant is marked supported.
merchant.yahoo-shopping	merchant	Yahoo Shopping	P0	covered	Japan	economy.paypay	daily	accepted_payment_methods | loyalty_program_rules | merchant_campaigns_and_coupons | online_mobile_order_differences | store_locator_and_branch_overrides | excluded_products_or_services	existing_registry	https://shopping.yahoo.co.jp/	Exact payment/loyalty/campaign role pages must be captured before the merchant is marked supported.
merchant.yodobashi	merchant	Yodobashi	P0	covered	Japan	merchant.jp-electronics	daily	accepted_payment_methods | loyalty_program_rules | merchant_campaigns_and_coupons | online_mobile_order_differences | store_locator_and_branch_overrides | excluded_products_or_services	existing_registry	https://www.yodobashi.com/	Exact payment/loyalty/campaign role pages must be captured before the merchant is marked supported.
wallet.aeonpay	payment_wallet	AEON Pay	P0	covered	Japan	economy.aeon-waon	6h	service_terms | base_reward_rules | funding_and_topup_rules | eligible_and_excluded_tenders | merchant_acceptance | campaign_directory | local_campaign_directory | change_notices_and_incidents	existing_or_web_verified	https://www.aeon.co.jp/service/lp/aeonpay/	
wallet.aupay	payment_wallet	au PAY	P0	covered	Japan	economy.au-ponta	6h	service_terms | base_reward_rules | funding_and_topup_rules | eligible_and_excluded_tenders | merchant_acceptance | campaign_directory | local_campaign_directory | change_notices_and_incidents	existing_or_web_verified	https://aupay.wallet.auone.jp/	
wallet.dbarai	payment_wallet	d払い	P0	covered	Japan	economy.docomo	6h	service_terms | base_reward_rules | funding_and_topup_rules | eligible_and_excluded_tenders | merchant_acceptance | campaign_directory | local_campaign_directory | change_notices_and_incidents	existing_or_web_verified	https://service.smt.docomo.ne.jp/keitai_payment/	
wallet.famipay	payment_wallet	FamiPay	P0	partial	Japan	wallet.famipay	6h	service_terms | base_reward_rules | funding_and_topup_rules | eligible_and_excluded_tenders | merchant_acceptance | campaign_directory | local_campaign_directory | change_notices_and_incidents	existing_or_web_verified	https://www.family.co.jp/famipay.html	
wallet.paypay	payment_wallet	PayPay	P0	covered	Japan	economy.paypay	6h	service_terms | base_reward_rules | funding_and_topup_rules | eligible_and_excluded_tenders | merchant_acceptance | campaign_directory | local_campaign_directory | change_notices_and_incidents	existing_or_web_verified	https://paypay.ne.jp/	
wallet.rakutenpay	payment_wallet	Rakuten Pay	P0	covered	Japan	economy.rakuten	6h	service_terms | base_reward_rules | funding_and_topup_rules | eligible_and_excluded_tenders | merchant_acceptance | campaign_directory | local_campaign_directory | change_notices_and_incidents	existing_or_web_verified	https://pay.rakuten.co.jp/	
point.d	point_program	d POINT	P0	covered	Japan	economy.docomo	daily	program_terms | earn_rules | use_redemption_rules | expiry_and_reward_classes | transfer_partner_directory | campaign_directory | change_notices | partner_merchant_directory	existing_or_web_verified	https://dpoint.docomo.ne.jp/	
point.jre	point_program	JRE POINT	P0	covered	Japan	transit.jre-suica-view	daily	program_terms | earn_rules | use_redemption_rules | expiry_and_reward_classes | transfer_partner_directory | campaign_directory | change_notices | partner_merchant_directory	existing_or_web_verified	https://www.jrepoint.jp/	
point.nanaco	point_program	nanaco Points	P0	covered	Japan	economy.seven-nanaco	daily	program_terms | earn_rules | use_redemption_rules | expiry_and_reward_classes | transfer_partner_directory | campaign_directory | change_notices | partner_merchant_directory	existing_or_web_verified	https://www.nanaco-net.jp/	
point.paypay	point_program	PayPay Points	P0	covered	Japan	economy.paypay	daily	program_terms | earn_rules | use_redemption_rules | expiry_and_reward_classes | transfer_partner_directory | campaign_directory | change_notices | partner_merchant_directory	existing_or_web_verified	https://paypay.ne.jp/	
point.ponta	point_program	Ponta	P0	covered	Japan	economy.au-ponta	daily	program_terms | earn_rules | use_redemption_rules | expiry_and_reward_classes | transfer_partner_directory | campaign_directory | change_notices | partner_merchant_directory	existing_or_web_verified	https://point.recruit.co.jp/pontaweb/	
point.rakuten	point_program	Rakuten Point	P0	covered	Japan	economy.rakuten	daily	program_terms | earn_rules | use_redemption_rules | expiry_and_reward_classes | transfer_partner_directory | campaign_directory | change_notices | partner_merchant_directory	existing_or_web_verified	https://point.rakuten.co.jp/	
point.v	point_program	V Point	P0	covered	Japan	economy.vpoint-smbc	daily	program_terms | earn_rules | use_redemption_rules | expiry_and_reward_classes | transfer_partner_directory | campaign_directory | change_notices | partner_merchant_directory	existing_or_web_verified	https://web.tsite.jp/vpoint/	
point.waon	point_program	WAON POINT	P0	partial	Japan	economy.aeon-waon	daily	program_terms | earn_rules | use_redemption_rules | expiry_and_reward_classes | transfer_partner_directory | campaign_directory | change_notices | partner_merchant_directory	existing_or_web_verified	https://www.waonpoint.jp/ | https://faq.waonpoint.jp/	
reg.jp.caa.advertising	regulatory	Consumer Affairs Agency advertising/affiliate disclosure	P0	covered	Japan	regulatory.jp.advertising	monthly	rules_and_guidance | registered_provider_lists | statistics_or_methodology | change_notices	existing_or_web_verified	https://www.caa.go.jp/policies/policy/representation/fair_labeling/stealth_marketing	
reg.jp.fsa.payments	regulatory	FSA payment/intermediary registrations	P0	covered	Japan	regulatory.jp.payments	weekly	rules_and_guidance | registered_provider_lists | statistics_or_methodology | change_notices	existing_or_web_verified	https://www.fsa.go.jp/common/shinsei/dendai/index.html | https://www.fsa.go.jp/menkyo/menkyo.html	
reg.jp.meti.cashless	regulatory	METI cashless statistics and policy	P0	covered	Japan	regulatory.jp.cashless	monthly	rules_and_guidance | registered_provider_lists | statistics_or_methodology | change_notices	existing_or_web_verified	https://www.meti.go.jp/press/2025/03/20260331006/20260331006.html	Market sizing and method changes; not a reward-rule source.
reg.jp.ppc.privacy	regulatory	Personal Information Protection Commission	P0	covered	Japan	regulatory.jp.privacy	monthly	rules_and_guidance | registered_provider_lists | statistics_or_methodology | change_notices	existing_or_web_verified	https://www.ppc.go.jp/	
