family_id	url_verification	representative_official_urls	notes
transit.manaca	candidate_to_verify	https://www.meitetsu.co.jp/manaca/ | https://mustar.meitetsu.co.jp/	Onboard when Chubu coverage is exposed.
transit.metpo	candidate_to_verify	https://www.metpo.jp/ | https://www.to-me-card.jp/	Tokyo transit expansion.
transit.nimoca	candidate_to_verify	https://www.nimoca.jp/	Onboard when Kyushu/Fukuoka coverage is exposed.
transit.odakyu	candidate_to_verify	https://www.odakyu-card.jp/ | https://www.odakyu.jp/	Tokyo transit expansion.
transit.pitapa-spoint	candidate_to_verify	https://www.pitapa.com/ | https://www.s-pt.jp/ | https://stacia.jp/	Onboard when Kansai private-rail coverage is exposed.
transit.teppay	existing_or_web_verified	https://www.jreast.co.jp/ | https://www.pasmo.co.jp/	Future service watch; do not expose until official terms are live.
transit.tobu	candidate_to_verify	https://www.tobupoint.jp/ | https://www.tobu-card.co.jp/	Tokyo transit expansion.
transit.toica	candidate_to_verify	https://toica.jr-central.co.jp/	Onboard when Chubu coverage is exposed.
hotel.accor	existing_or_web_verified	https://all.accor.com/loyalty-program/partners/index.en.shtml	
hotel.apa	existing_or_web_verified	https://www.apahotel.com/	
hotel.hilton	existing_or_web_verified	https://www.hilton.com/en/hilton-honors/	
hotel.hyatt	existing_or_web_verified	https://world.hyatt.com/ | https://world.hyatt.com/content/gp/en/rewards/air-auto.html	
hotel.ihg	existing_or_web_verified	https://www.ihg.com/content/us/en/customer-care/member-tc.html | https://www.ihg.com/content/jp/ja/deals/hotel-offers	
hotel.marriott	existing_or_web_verified	https://www.marriott.com/loyalty/terms/default.mi | https://www.marriott.com/loyalty/redeem/travel/points-to-miles.mi	
hotel.oneharmony	existing_or_web_verified	https://www.oneharmony.com/	
hotel.seibu-prince	existing_or_web_verified	https://www.princehotels.co.jp/ | https://www.seibuprince.com/	
hotel.tokyu	existing_or_web_verified	https://www.tokyuhotels.co.jp/	
merchant.aupay-market	candidate_to_verify	https://wowma.jp/	Exact payment/loyalty/campaign role pages must be captured before the merchant is marked supported.
merchant.bookoff	candidate_to_verify	https://www.bookoff.co.jp/	Exact payment/loyalty/campaign role pages must be captured before support.
merchant.cainz	candidate_to_verify	https://www.cainz.com/	Exact payment/loyalty/campaign role pages must be captured before support.
merchant.cosmo	candidate_to_verify	https://www.cosmo-thecard.com/	Exact payment/loyalty/campaign role pages must be captured before the merchant is marked supported.
merchant.cosmos	candidate_to_verify	https://www.cosmospc.co.jp/	Exact payment/loyalty/campaign role pages must be captured before the merchant is marked supported.
merchant.daimaru	candidate_to_verify	https://www.daimaru-matsuzakaya.jp/	Exact payment/loyalty/campaign role pages must be captured before support.
merchant.dcm	candidate_to_verify	https://www.dcm-hc.co.jp/	Exact payment/loyalty/campaign role pages must be captured before support.
merchant.demaecan	candidate_to_verify	https://demae-can.com/	Exact payment/loyalty/campaign role pages must be captured before support.
merchant.dshopping	candidate_to_verify	https://dshopping.docomo.ne.jp/	Exact payment/loyalty/campaign role pages must be captured before support.
merchant.go-taxi	candidate_to_verify	https://go.goinc.jp/	Exact payment/loyalty/campaign role pages must be captured before support.
merchant.hands	candidate_to_verify	https://hands.net/	Exact payment/loyalty/campaign role pages must be captured before support.
merchant.ikyu	candidate_to_verify	https://www.ikyu.com/	Exact payment/loyalty/campaign role pages must be captured before the merchant is marked supported.
merchant.inageya	candidate_to_verify	https://www.inageya.co.jp/	Exact payment/loyalty/campaign role pages must be captured before support.
merchant.jalan	candidate_to_verify	https://www.jalan.net/	Exact payment/loyalty/campaign role pages must be captured before the merchant is marked supported.
merchant.ksdenki	candidate_to_verify	https://www.ksdenki.com/	Exact payment/loyalty/campaign role pages must be captured before support.
merchant.loft	candidate_to_verify	https://www.loft.co.jp/	Exact payment/loyalty/campaign role pages must be captured before support.
merchant.mitsukoshi-isetan	candidate_to_verify	https://www.mistore.jp/	Exact payment/loyalty/campaign role pages must be captured before the merchant is marked supported.
merchant.muji	candidate_to_verify	https://www.muji.com/jp/	Exact payment/loyalty/campaign role pages must be captured before support.
merchant.nitori	candidate_to_verify	https://www.nitori-net.jp/	Exact payment/loyalty/campaign role pages must be captured before support.
merchant.parco	candidate_to_verify	https://parco.jp/	Exact payment/loyalty/campaign role pages must be captured before the merchant is marked supported.
merchant.qoo10	candidate_to_verify	https://www.qoo10.jp/	Exact payment/loyalty/campaign role pages must be captured before the merchant is marked supported.
merchant.rakuten-travel	candidate_to_verify	https://travel.rakuten.co.jp/	Exact payment/loyalty/campaign role pages must be captured before the merchant is marked supported.
merchant.seibu-sogo	candidate_to_verify	https://www.sogo-seibu.jp/	Exact payment/loyalty/campaign role pages must be captured before support.
merchant.seicomart	candidate_to_verify	https://www.seicomart.co.jp/	Exact payment/loyalty/campaign role pages must be captured before the merchant is marked supported.
merchant.takashimaya	candidate_to_verify	https://www.takashimaya.co.jp/	Exact payment/loyalty/campaign role pages must be captured before the merchant is marked supported.
merchant.times	candidate_to_verify	https://www.timesclub.jp/	Exact payment/loyalty/campaign role pages must be captured before support.
merchant.tomods	candidate_to_verify	https://www.tomods.jp/	Exact payment/loyalty/campaign role pages must be captured before the merchant is marked supported.
merchant.tsutaya	candidate_to_verify	https://tsutaya.tsite.jp/	Exact payment/loyalty/campaign role pages must be captured before support.
merchant.uber-eats	candidate_to_verify	https://www.ubereats.com/jp	Exact payment/loyalty/campaign role pages must be captured before support.
merchant.uniqlo	candidate_to_verify	https://www.uniqlo.com/jp/	Exact payment/loyalty/campaign role pages must be captured before the merchant is marked supported.
merchant.yaoko	candidate_to_verify	https://www.yaoko-net.com/	Exact payment/loyalty/campaign role pages must be captured before the merchant is marked supported.
interface.open-loop-transit	candidate_to_verify	https://stera-transit.com/	
interface.samsung-wallet-jp	candidate_to_verify	https://www.samsung.com/jp/apps/samsung-wallet/	
interface.smart-code	candidate_to_verify	https://www.smart-code.jp/	
wallet.anapay	existing_or_web_verified	https://www.ana.co.jp/ja/jp/amc/ana-pay/	
wallet.coinplus-airwallet	existing_or_web_verified	https://coinplus.jp/ | https://airwallet.jp/	
wallet.jalpay	existing_or_web_verified	https://www.jal.co.jp/jp/ja/jmb/jalpay/	
wallet.kyash	existing_or_web_verified	https://www.kyash.co/ | https://www.kyash.co/campaign-information	
wallet.toyota	existing_or_web_verified	https://toyota-wallet.com/	
wallet.wesmo	candidate_to_verify	https://wester.jr-odekake.net/	New JR West wallet/point route; exact role pages must be verified.
wallet.yuchopay	candidate_to_verify	https://www.jp-bank.japanpost.jp/kojin/sokin/yuchopay/kj_sk_yp_index.html	
point.amazon-jp	candidate_to_verify	https://www.amazon.co.jp/	Capture eligible products, pending points, expiry, and campaign multipliers.
point.majica	candidate_to_verify	https://www.majica-net.com/	Merchant-specific wallet/point system.
point.mi	existing_or_web_verified	https://www2.micard.co.jp/	
point.recruit	candidate_to_verify	https://point.recruit.co.jp/	Track Ponta-linked earning/use and marketplace-specific conditions.
point.seibu-smile	existing_or_web_verified	https://www.seibuprince.com/ | https://www.princehotels.co.jp/	
point.seven-mile	candidate_to_verify	https://www.7mp.omni7.jp/	Track conversion/use links to nanaco and Seven & i programs.
point.tokyu	existing_or_web_verified	https://www.topcard.co.jp/ | https://www.tokyuhotels.co.jp/	
